guid,input,output,input_label,output_label
04859,6.0,6.0,JPN,JPN
02029,8.0,2.0,SPA,FRE
08498,4.0,4.0,HIN,HIN
00265,8.0,2.0,SPA,FRE
02856,8.0,8.0,SPA,SPA
12331,2.0,2.0,FRE,FRE
12342,0.0,5.0,ARA,ITA
04207,9.0,9.0,TEL,TEL
00354,0.0,2.0,ARA,FRE
07521,8.0,1.0,SPA,CHI
07756,7.0,0.0,KOR,ARA
04607,4.0,3.0,HIN,GER
11897,5.0,5.0,ITA,ITA
05011,10.0,3.0,TUR,GER
05544,2.0,2.0,FRE,FRE
01355,2.0,4.0,FRE,HIN
12661,0.0,0.0,ARA,ARA
02646,7.0,6.0,KOR,JPN
04241,10.0,1.0,TUR,CHI
03226,5.0,5.0,ITA,ITA
10121,5.0,5.0,ITA,ITA
00657,2.0,3.0,FRE,GER
12431,8.0,5.0,SPA,ITA
02906,9.0,9.0,TEL,TEL
07525,0.0,5.0,ARA,ITA
03149,4.0,4.0,HIN,HIN
10524,9.0,3.0,TEL,GER
04095,0.0,2.0,ARA,FRE
11027,5.0,5.0,ITA,ITA
01181,9.0,4.0,TEL,HIN
10118,5.0,5.0,ITA,ITA
07579,1.0,1.0,CHI,CHI
11600,9.0,4.0,TEL,HIN
12545,3.0,2.0,GER,FRE
09254,4.0,10.0,HIN,TUR
07006,10.0,10.0,TUR,TUR
06444,10.0,10.0,TUR,TUR
12732,5.0,5.0,ITA,ITA
07096,4.0,9.0,HIN,TEL
04319,7.0,6.0,KOR,JPN
04783,10.0,8.0,TUR,SPA
05062,2.0,2.0,FRE,FRE
02240,0.0,2.0,ARA,FRE
00695,1.0,1.0,CHI,CHI
05162,8.0,8.0,SPA,SPA
07613,9.0,0.0,TEL,ARA
01514,1.0,0.0,CHI,ARA
01242,10.0,8.0,TUR,SPA
10364,8.0,2.0,SPA,FRE
04371,0.0,2.0,ARA,FRE
03630,7.0,6.0,KOR,JPN
05854,2.0,2.0,FRE,FRE
10630,0.0,8.0,ARA,SPA
11047,6.0,6.0,JPN,JPN
01002,0.0,0.0,ARA,ARA
07922,9.0,9.0,TEL,TEL
09304,4.0,9.0,HIN,TEL
03799,3.0,5.0,GER,ITA
02400,9.0,10.0,TEL,TUR
04189,4.0,9.0,HIN,TEL
02003,1.0,6.0,CHI,JPN
09837,0.0,0.0,ARA,ARA
00241,4.0,4.0,HIN,HIN
10598,1.0,10.0,CHI,TUR
07327,2.0,2.0,FRE,FRE
03889,7.0,7.0,KOR,KOR
12268,10.0,10.0,TUR,TUR
02670,1.0,1.0,CHI,CHI
09740,5.0,3.0,ITA,GER
05256,8.0,0.0,SPA,ARA
10510,2.0,3.0,FRE,GER
06741,2.0,3.0,FRE,GER
05809,6.0,1.0,JPN,CHI
09574,10.0,2.0,TUR,FRE
01888,8.0,3.0,SPA,GER
08248,4.0,0.0,HIN,ARA
08207,7.0,6.0,KOR,JPN
05767,1.0,1.0,CHI,CHI
09337,3.0,3.0,GER,GER
06139,1.0,1.0,CHI,CHI
02338,9.0,4.0,TEL,HIN
11133,10.0,10.0,TUR,TUR
02546,6.0,6.0,JPN,JPN
12234,0.0,8.0,ARA,SPA
03136,5.0,5.0,ITA,ITA
09701,7.0,6.0,KOR,JPN
04444,3.0,2.0,GER,FRE
12434,2.0,2.0,FRE,FRE
09441,6.0,6.0,JPN,JPN
12991,5.0,8.0,ITA,SPA
01947,3.0,3.0,GER,GER
01412,3.0,3.0,GER,GER
04106,10.0,0.0,TUR,ARA
07865,9.0,10.0,TEL,TUR
05617,7.0,6.0,KOR,JPN
02519,7.0,7.0,KOR,KOR
08827,10.0,4.0,TUR,HIN
11464,8.0,3.0,SPA,GER
10072,3.0,3.0,GER,GER
10699,9.0,9.0,TEL,TEL
01095,5.0,2.0,ITA,FRE
02395,6.0,6.0,JPN,JPN
05194,4.0,4.0,HIN,HIN
08762,2.0,3.0,FRE,GER
11279,1.0,1.0,CHI,CHI
04743,1.0,7.0,CHI,KOR
12332,7.0,7.0,KOR,KOR
05301,7.0,7.0,KOR,KOR
02622,10.0,0.0,TUR,ARA
08642,1.0,1.0,CHI,CHI
09547,10.0,10.0,TUR,TUR
08851,2.0,2.0,FRE,FRE
02257,6.0,6.0,JPN,JPN
00910,9.0,9.0,TEL,TEL
03267,2.0,2.0,FRE,FRE
02339,5.0,5.0,ITA,ITA
12571,7.0,6.0,KOR,JPN
05625,7.0,7.0,KOR,KOR
08462,10.0,1.0,TUR,CHI
02745,5.0,5.0,ITA,ITA
10929,6.0,6.0,JPN,JPN
08081,2.0,2.0,FRE,FRE
08771,5.0,3.0,ITA,GER
02897,6.0,6.0,JPN,JPN
04462,6.0,6.0,JPN,JPN
07102,6.0,6.0,JPN,JPN
08238,2.0,1.0,FRE,CHI
01914,7.0,6.0,KOR,JPN
03287,8.0,10.0,SPA,TUR
03047,6.0,1.0,JPN,CHI
08902,2.0,2.0,FRE,FRE
09917,2.0,2.0,FRE,FRE
10537,8.0,5.0,SPA,ITA
11229,6.0,6.0,JPN,JPN
10434,3.0,3.0,GER,GER
07810,2.0,3.0,FRE,GER
07081,1.0,1.0,CHI,CHI
11125,10.0,1.0,TUR,CHI
07655,2.0,1.0,FRE,CHI
13054,6.0,6.0,JPN,JPN
04282,0.0,8.0,ARA,SPA
08061,1.0,1.0,CHI,CHI
11298,7.0,7.0,KOR,KOR
00293,0.0,8.0,ARA,SPA
12285,3.0,3.0,GER,GER
06917,8.0,2.0,SPA,FRE
10971,9.0,10.0,TEL,TUR
07490,9.0,4.0,TEL,HIN
05479,1.0,2.0,CHI,FRE
03745,1.0,1.0,CHI,CHI
06026,3.0,3.0,GER,GER
04616,9.0,9.0,TEL,TEL
06888,1.0,1.0,CHI,CHI
00012,3.0,3.0,GER,GER
04158,9.0,4.0,TEL,HIN
01940,8.0,1.0,SPA,CHI
04755,8.0,3.0,SPA,GER
09934,5.0,2.0,ITA,FRE
05493,9.0,9.0,TEL,TEL
06224,6.0,6.0,JPN,JPN
12317,4.0,9.0,HIN,TEL
02517,4.0,4.0,HIN,HIN
09921,7.0,6.0,KOR,JPN
11769,1.0,10.0,CHI,TUR
02130,5.0,5.0,ITA,ITA
01983,6.0,1.0,JPN,CHI
10020,7.0,6.0,KOR,JPN
07158,3.0,3.0,GER,GER
01584,4.0,4.0,HIN,HIN
09874,8.0,5.0,SPA,ITA
11108,4.0,9.0,HIN,TEL
01848,7.0,7.0,KOR,KOR
11374,8.0,8.0,SPA,SPA
10816,7.0,6.0,KOR,JPN
04774,3.0,3.0,GER,GER
05538,7.0,10.0,KOR,TUR
06526,10.0,10.0,TUR,TUR
09213,0.0,0.0,ARA,ARA
02696,6.0,6.0,JPN,JPN
02715,6.0,6.0,JPN,JPN
06210,0.0,7.0,ARA,KOR
05967,6.0,0.0,JPN,ARA
02863,3.0,3.0,GER,GER
08054,0.0,9.0,ARA,TEL
12039,0.0,8.0,ARA,SPA
12452,6.0,7.0,JPN,KOR
12340,10.0,10.0,TUR,TUR
00802,9.0,4.0,TEL,HIN
01139,6.0,6.0,JPN,JPN
08797,9.0,9.0,TEL,TEL
11661,0.0,0.0,ARA,ARA
00384,10.0,1.0,TUR,CHI
07715,2.0,2.0,FRE,FRE
04193,0.0,0.0,ARA,ARA
02764,4.0,9.0,HIN,TEL
12612,2.0,2.0,FRE,FRE
00871,3.0,2.0,GER,FRE
04953,0.0,0.0,ARA,ARA
03356,6.0,6.0,JPN,JPN
07176,7.0,1.0,KOR,CHI
12761,5.0,5.0,ITA,ITA
08588,3.0,3.0,GER,GER
07051,3.0,2.0,GER,FRE
05069,5.0,3.0,ITA,GER
03723,2.0,3.0,FRE,GER
01721,5.0,3.0,ITA,GER
05441,2.0,2.0,FRE,FRE
12158,3.0,3.0,GER,GER
00746,7.0,1.0,KOR,CHI
03218,1.0,1.0,CHI,CHI
00021,6.0,6.0,JPN,JPN
13181,5.0,8.0,ITA,SPA
08487,8.0,1.0,SPA,CHI
00307,6.0,6.0,JPN,JPN
00671,9.0,9.0,TEL,TEL
05465,3.0,3.0,GER,GER
01223,5.0,5.0,ITA,ITA
00215,7.0,7.0,KOR,KOR
03451,1.0,1.0,CHI,CHI
04787,2.0,8.0,FRE,SPA
13107,8.0,8.0,SPA,SPA
04018,6.0,1.0,JPN,CHI
13126,10.0,6.0,TUR,JPN
07048,3.0,3.0,GER,GER
01385,3.0,3.0,GER,GER
03559,5.0,5.0,ITA,ITA
01757,0.0,1.0,ARA,CHI
06912,2.0,2.0,FRE,FRE
03958,10.0,10.0,TUR,TUR
00771,6.0,6.0,JPN,JPN
08263,1.0,1.0,CHI,CHI
00748,3.0,3.0,GER,GER
02840,2.0,2.0,FRE,FRE
04986,0.0,0.0,ARA,ARA
05920,3.0,3.0,GER,GER
09776,7.0,6.0,KOR,JPN
05334,6.0,7.0,JPN,KOR
00790,0.0,8.0,ARA,SPA
08271,4.0,9.0,HIN,TEL
08091,9.0,9.0,TEL,TEL
07109,7.0,3.0,KOR,GER
09201,10.0,9.0,TUR,TEL
12489,0.0,3.0,ARA,GER
02656,9.0,9.0,TEL,TEL
06527,0.0,5.0,ARA,ITA
11844,7.0,1.0,KOR,CHI
08260,10.0,1.0,TUR,CHI
10666,7.0,6.0,KOR,JPN
02720,10.0,6.0,TUR,JPN
01248,9.0,9.0,TEL,TEL
12406,1.0,2.0,CHI,FRE
08104,3.0,3.0,GER,GER
05222,1.0,8.0,CHI,SPA
12169,7.0,1.0,KOR,CHI
12155,8.0,8.0,SPA,SPA
09982,10.0,7.0,TUR,KOR
01031,4.0,0.0,HIN,ARA
03565,8.0,5.0,SPA,ITA
10439,0.0,0.0,ARA,ARA
07280,8.0,0.0,SPA,ARA
03148,8.0,8.0,SPA,SPA
00108,5.0,6.0,ITA,JPN
02028,3.0,3.0,GER,GER
10922,7.0,7.0,KOR,KOR
06458,7.0,7.0,KOR,KOR
03802,5.0,5.0,ITA,ITA
09098,4.0,0.0,HIN,ARA
10828,1.0,1.0,CHI,CHI
01628,4.0,10.0,HIN,TUR
01567,1.0,1.0,CHI,CHI
03108,10.0,10.0,TUR,TUR
05857,1.0,7.0,CHI,KOR
10500,10.0,10.0,TUR,TUR
01024,2.0,2.0,FRE,FRE
12404,4.0,3.0,HIN,GER
06346,8.0,8.0,SPA,SPA
05074,6.0,6.0,JPN,JPN
01213,0.0,8.0,ARA,SPA
01548,10.0,1.0,TUR,CHI
12437,2.0,2.0,FRE,FRE
00821,9.0,10.0,TEL,TUR
08626,10.0,2.0,TUR,FRE
02235,9.0,4.0,TEL,HIN
09984,4.0,9.0,HIN,TEL
09353,1.0,1.0,CHI,CHI
07387,1.0,1.0,CHI,CHI
09852,8.0,5.0,SPA,ITA
00521,6.0,6.0,JPN,JPN
09724,5.0,5.0,ITA,ITA
05976,2.0,2.0,FRE,FRE
02784,3.0,3.0,GER,GER
04562,6.0,1.0,JPN,CHI
12323,9.0,9.0,TEL,TEL
11098,1.0,1.0,CHI,CHI
09209,0.0,0.0,ARA,ARA
07952,3.0,3.0,GER,GER
09951,0.0,0.0,ARA,ARA
08595,10.0,10.0,TUR,TUR
09462,1.0,1.0,CHI,CHI
07968,10.0,1.0,TUR,CHI
05132,4.0,4.0,HIN,HIN
03721,8.0,10.0,SPA,TUR
03311,10.0,10.0,TUR,TUR
04179,9.0,9.0,TEL,TEL
10048,1.0,10.0,CHI,TUR
02891,10.0,10.0,TUR,TUR
12005,4.0,4.0,HIN,HIN
12611,3.0,3.0,GER,GER
09887,10.0,10.0,TUR,TUR
05509,7.0,1.0,KOR,CHI
09838,6.0,6.0,JPN,JPN
10522,5.0,5.0,ITA,ITA
06862,7.0,1.0,KOR,CHI
02992,9.0,4.0,TEL,HIN
05015,1.0,2.0,CHI,FRE
10618,10.0,10.0,TUR,TUR
00760,9.0,9.0,TEL,TEL
02467,5.0,5.0,ITA,ITA
01137,10.0,10.0,TUR,TUR
10464,0.0,0.0,ARA,ARA
06517,5.0,5.0,ITA,ITA
05247,9.0,3.0,TEL,GER
06607,8.0,8.0,SPA,SPA
11148,10.0,3.0,TUR,GER
11235,2.0,5.0,FRE,ITA
11649,10.0,1.0,TUR,CHI
07404,9.0,9.0,TEL,TEL
05507,2.0,2.0,FRE,FRE
04063,8.0,8.0,SPA,SPA
05911,9.0,9.0,TEL,TEL
02568,7.0,6.0,KOR,JPN
08733,0.0,0.0,ARA,ARA
11939,10.0,10.0,TUR,TUR
09475,3.0,3.0,GER,GER
09947,0.0,8.0,ARA,SPA
07276,10.0,10.0,TUR,TUR
05206,7.0,7.0,KOR,KOR
10734,5.0,5.0,ITA,ITA
00788,10.0,10.0,TUR,TUR
06085,6.0,2.0,JPN,FRE
11890,8.0,8.0,SPA,SPA
06722,6.0,6.0,JPN,JPN
09382,6.0,6.0,JPN,JPN
05335,0.0,4.0,ARA,HIN
10182,9.0,4.0,TEL,HIN
07093,8.0,8.0,SPA,SPA
01754,10.0,1.0,TUR,CHI
12226,8.0,8.0,SPA,SPA
12046,0.0,0.0,ARA,ARA
01044,1.0,1.0,CHI,CHI
07030,5.0,2.0,ITA,FRE
06618,4.0,9.0,HIN,TEL
08228,9.0,9.0,TEL,TEL
09144,5.0,3.0,ITA,GER
01610,3.0,3.0,GER,GER
01285,2.0,2.0,FRE,FRE
10612,6.0,1.0,JPN,CHI
01938,7.0,6.0,KOR,JPN
09696,5.0,5.0,ITA,ITA
07407,0.0,10.0,ARA,TUR
09437,5.0,5.0,ITA,ITA
00705,6.0,6.0,JPN,JPN
03015,4.0,9.0,HIN,TEL
11253,9.0,9.0,TEL,TEL
09327,1.0,6.0,CHI,JPN
05602,5.0,5.0,ITA,ITA
03274,9.0,4.0,TEL,HIN
04958,5.0,6.0,ITA,JPN
08651,4.0,4.0,HIN,HIN
12719,10.0,10.0,TUR,TUR
10521,2.0,2.0,FRE,FRE
08756,8.0,3.0,SPA,GER
06215,0.0,8.0,ARA,SPA
06991,9.0,9.0,TEL,TEL
05952,1.0,1.0,CHI,CHI
02276,5.0,5.0,ITA,ITA
07483,5.0,5.0,ITA,ITA
10599,7.0,7.0,KOR,KOR
03626,4.0,4.0,HIN,HIN
06239,8.0,5.0,SPA,ITA
00092,2.0,2.0,FRE,FRE
10689,3.0,3.0,GER,GER
02630,6.0,1.0,JPN,CHI
10420,10.0,8.0,TUR,SPA
12192,10.0,3.0,TUR,GER
07040,7.0,7.0,KOR,KOR
07874,6.0,6.0,JPN,JPN
06737,9.0,9.0,TEL,TEL
10287,6.0,6.0,JPN,JPN
02427,6.0,6.0,JPN,JPN
07811,9.0,3.0,TEL,GER
11522,2.0,2.0,FRE,FRE
01660,6.0,6.0,JPN,JPN
03841,7.0,1.0,KOR,CHI
10313,5.0,5.0,ITA,ITA
12846,10.0,10.0,TUR,TUR
04312,9.0,9.0,TEL,TEL
07892,6.0,1.0,JPN,CHI
03260,10.0,10.0,TUR,TUR
12849,10.0,2.0,TUR,FRE
04032,7.0,7.0,KOR,KOR
00197,1.0,6.0,CHI,JPN
01280,3.0,3.0,GER,GER
08740,4.0,0.0,HIN,ARA
07598,3.0,10.0,GER,TUR
11315,4.0,9.0,HIN,TEL
05531,3.0,1.0,GER,CHI
05138,2.0,2.0,FRE,FRE
09805,9.0,9.0,TEL,TEL
07766,8.0,8.0,SPA,SPA
09184,0.0,0.0,ARA,ARA
01364,4.0,9.0,HIN,TEL
05815,8.0,8.0,SPA,SPA
12177,10.0,1.0,TUR,CHI
07099,10.0,0.0,TUR,ARA
04103,9.0,9.0,TEL,TEL
01246,8.0,8.0,SPA,SPA
02456,5.0,5.0,ITA,ITA
00898,7.0,8.0,KOR,SPA
06718,4.0,9.0,HIN,TEL
00030,4.0,9.0,HIN,TEL
12416,1.0,1.0,CHI,CHI
00347,8.0,5.0,SPA,ITA
05379,10.0,10.0,TUR,TUR
09515,8.0,8.0,SPA,SPA
10354,5.0,5.0,ITA,ITA
09176,8.0,8.0,SPA,SPA
02248,6.0,1.0,JPN,CHI
13121,2.0,2.0,FRE,FRE
10744,7.0,7.0,KOR,KOR
10016,1.0,1.0,CHI,CHI
05026,1.0,1.0,CHI,CHI
08163,9.0,4.0,TEL,HIN
06141,5.0,5.0,ITA,ITA
10109,7.0,1.0,KOR,CHI
00379,9.0,9.0,TEL,TEL
00881,6.0,6.0,JPN,JPN
09044,1.0,1.0,CHI,CHI
06208,2.0,3.0,FRE,GER
02031,10.0,3.0,TUR,GER
06299,5.0,2.0,ITA,FRE
10282,0.0,0.0,ARA,ARA
03324,10.0,1.0,TUR,CHI
03144,9.0,4.0,TEL,HIN
13021,1.0,6.0,CHI,JPN
09949,4.0,4.0,HIN,HIN
11403,10.0,10.0,TUR,TUR
11620,9.0,9.0,TEL,TEL
01853,3.0,3.0,GER,GER
04649,7.0,7.0,KOR,KOR
10092,10.0,10.0,TUR,TUR
10835,8.0,5.0,SPA,ITA
01830,3.0,3.0,GER,GER
06908,3.0,3.0,GER,GER
03290,6.0,6.0,JPN,JPN
06150,1.0,1.0,CHI,CHI
01195,2.0,5.0,FRE,ITA
02718,8.0,0.0,SPA,ARA
13119,6.0,10.0,JPN,TUR
04877,10.0,0.0,TUR,ARA
04806,2.0,2.0,FRE,FRE
05681,8.0,2.0,SPA,FRE
07398,5.0,5.0,ITA,ITA
04159,10.0,6.0,TUR,JPN
13123,7.0,7.0,KOR,KOR
11988,6.0,7.0,JPN,KOR
07260,9.0,4.0,TEL,HIN
09425,4.0,4.0,HIN,HIN
02412,2.0,2.0,FRE,FRE
10620,0.0,0.0,ARA,ARA
01709,3.0,3.0,GER,GER
01092,2.0,2.0,FRE,FRE
08966,5.0,8.0,ITA,SPA
10351,0.0,0.0,ARA,ARA
00458,10.0,1.0,TUR,CHI
06132,9.0,4.0,TEL,HIN
06791,0.0,8.0,ARA,SPA
05989,0.0,1.0,ARA,CHI
05181,4.0,4.0,HIN,HIN
03367,9.0,0.0,TEL,ARA
12129,9.0,10.0,TEL,TUR
01373,7.0,1.0,KOR,CHI
06585,4.0,2.0,HIN,FRE
08254,10.0,10.0,TUR,TUR
09623,5.0,5.0,ITA,ITA
06167,8.0,2.0,SPA,FRE
08481,5.0,5.0,ITA,ITA
03096,10.0,8.0,TUR,SPA
04839,8.0,8.0,SPA,SPA
06600,3.0,3.0,GER,GER
05904,6.0,1.0,JPN,CHI
10771,2.0,2.0,FRE,FRE
06597,8.0,2.0,SPA,FRE
04424,6.0,6.0,JPN,JPN
10365,3.0,2.0,GER,FRE
02945,6.0,6.0,JPN,JPN
10397,8.0,5.0,SPA,ITA
09219,5.0,5.0,ITA,ITA
08485,3.0,3.0,GER,GER
03937,2.0,4.0,FRE,HIN
04622,4.0,3.0,HIN,GER
07561,0.0,1.0,ARA,CHI
02513,7.0,1.0,KOR,CHI
08178,0.0,0.0,ARA,ARA
09625,9.0,4.0,TEL,HIN
11969,0.0,4.0,ARA,HIN
09956,1.0,1.0,CHI,CHI
05709,0.0,0.0,ARA,ARA
12267,7.0,7.0,KOR,KOR
02565,5.0,5.0,ITA,ITA
11736,0.0,0.0,ARA,ARA
05491,3.0,3.0,GER,GER
11012,3.0,2.0,GER,FRE
13130,3.0,3.0,GER,GER
08793,1.0,1.0,CHI,CHI
08818,8.0,10.0,SPA,TUR
09568,2.0,2.0,FRE,FRE
10129,10.0,10.0,TUR,TUR
06550,2.0,2.0,FRE,FRE
06872,3.0,3.0,GER,GER
07444,9.0,4.0,TEL,HIN
11297,4.0,4.0,HIN,HIN
06561,4.0,9.0,HIN,TEL
00085,3.0,3.0,GER,GER
06769,0.0,3.0,ARA,GER
10937,0.0,8.0,ARA,SPA
10112,3.0,2.0,GER,FRE
06587,3.0,2.0,GER,FRE
03614,2.0,0.0,FRE,ARA
01787,6.0,6.0,JPN,JPN
04700,2.0,3.0,FRE,GER
09904,6.0,1.0,JPN,CHI
12063,9.0,4.0,TEL,HIN
09635,3.0,3.0,GER,GER
03448,8.0,8.0,SPA,SPA
06219,1.0,1.0,CHI,CHI
04626,5.0,5.0,ITA,ITA
08645,7.0,7.0,KOR,KOR
01254,7.0,1.0,KOR,CHI
09449,9.0,9.0,TEL,TEL
10851,4.0,4.0,HIN,HIN
11922,4.0,0.0,HIN,ARA
12657,7.0,7.0,KOR,KOR
07778,8.0,8.0,SPA,SPA
06821,4.0,9.0,HIN,TEL
05291,6.0,6.0,JPN,JPN
02123,3.0,3.0,GER,GER
12982,4.0,9.0,HIN,TEL
01996,2.0,2.0,FRE,FRE
03759,8.0,8.0,SPA,SPA
09965,1.0,8.0,CHI,SPA
11218,4.0,3.0,HIN,GER
12061,2.0,2.0,FRE,FRE
09763,0.0,0.0,ARA,ARA
13114,8.0,5.0,SPA,ITA
04361,0.0,8.0,ARA,SPA
13162,2.0,3.0,FRE,GER
12574,5.0,5.0,ITA,ITA
12010,7.0,6.0,KOR,JPN
08829,7.0,7.0,KOR,KOR
04627,8.0,2.0,SPA,FRE
01175,0.0,10.0,ARA,TUR
01263,2.0,2.0,FRE,FRE
04300,7.0,10.0,KOR,TUR
11998,4.0,9.0,HIN,TEL
06679,7.0,7.0,KOR,KOR
08531,0.0,8.0,ARA,SPA
05729,5.0,5.0,ITA,ITA
09485,10.0,0.0,TUR,ARA
12588,1.0,1.0,CHI,CHI
08191,9.0,9.0,TEL,TEL
11791,5.0,5.0,ITA,ITA
03760,3.0,3.0,GER,GER
01623,4.0,4.0,HIN,HIN
10405,4.0,4.0,HIN,HIN
12757,0.0,0.0,ARA,ARA
01687,3.0,3.0,GER,GER
02990,1.0,1.0,CHI,CHI
03713,6.0,6.0,JPN,JPN
00041,9.0,9.0,TEL,TEL
02830,2.0,2.0,FRE,FRE
05276,9.0,4.0,TEL,HIN
05618,8.0,8.0,SPA,SPA
05329,3.0,3.0,GER,GER
04264,7.0,9.0,KOR,TEL
06382,4.0,9.0,HIN,TEL
07550,3.0,2.0,GER,FRE
07173,5.0,5.0,ITA,ITA
03796,8.0,8.0,SPA,SPA
00144,7.0,1.0,KOR,CHI
07634,1.0,1.0,CHI,CHI
10738,10.0,3.0,TUR,GER
12011,4.0,8.0,HIN,SPA
11870,3.0,3.0,GER,GER
09698,3.0,2.0,GER,FRE
08281,9.0,9.0,TEL,TEL
01508,6.0,6.0,JPN,JPN
02061,10.0,4.0,TUR,HIN
02175,3.0,3.0,GER,GER
02232,4.0,4.0,HIN,HIN
11578,6.0,6.0,JPN,JPN
06777,5.0,5.0,ITA,ITA
12312,6.0,6.0,JPN,JPN
02037,1.0,10.0,CHI,TUR
07058,8.0,2.0,SPA,FRE
08150,6.0,6.0,JPN,JPN
13097,6.0,6.0,JPN,JPN
08671,8.0,2.0,SPA,FRE
12470,7.0,7.0,KOR,KOR
01793,9.0,9.0,TEL,TEL
00155,8.0,8.0,SPA,SPA
06034,4.0,4.0,HIN,HIN
06756,5.0,3.0,ITA,GER
05373,2.0,5.0,FRE,ITA
05793,2.0,2.0,FRE,FRE
05513,3.0,3.0,GER,GER
05234,3.0,3.0,GER,GER
